Date,AAPL,GOOGL,MSFT,AMZN,TSLA,JPM,META,NVDA,BAC,JNJ,PFE,UNH,XOM,CVX,WMT,PG,KO,HD,COP
2024-01-02,,,,,,,,,,,,,,,,,,,
2024-01-03,-0.007487610428786873,-0.004497964424858836,-0.004511719792834601,0.0040042176897152615,0.022604319563849895,0.011286011286011366,0.008080009040569491,0.028195332613570434,-0.006944444444444309,-0.0025585023400935825,0.007766103243490141,-0.0085285848172445,0.02281957068265328,0.012758737699355205,-0.002948187178522188,-0.009313977389517114,-0.004158349966733255,-0.007319328841326467,0.01335002085940773
2024-01-04,-6.786599411712224e-05,-4.305265867221575e-05,-6.727228418079712e-05,-2.1361881931691862e-05,0.00043013468986319303,-2.6516326075753938e-05,0.00010031511700492324,0.000392281898363267,-0.00011823924867404578,-2.0488507228022534e-05,-2.9923788562813414e-05,-5.207926828565412e-05,-0.0003300618561585811,-4.787839651299031e-05,-2.1701031763909917e-05,-0.00015399495781154293,-4.028466645578099e-05,-0.00012605424191702852,-7.364770667606102e-05
2024-01-05,-8.067117416299396e-07,-1.1642062236472128e-07,-4.977206915501853e-07,-2.651935296915653e-07,7.201224685449148e-06,-2.497858211381043e-07,-6.969991520611174e-07,-1.3086219747826533e-05,-2.3683197790669297e-06,-2.1872040978365703e-07,-4.289416790648204e-07,-3.1706721270730043e-07,-8.358400961694379e-06,-8.598595458986225e-07,-2.249794699427099e-07,-1.6403340958870416e-06,-5.198021477692549e-07,-2.341973355024507e-06,-1.4451487400091168e-06
2024-01-08,5.017024129472247e-09,6.039166944304952e-10,1.8407506630069292e-09,2.303345292276049e-09,-1.8584541228161555e-07,3.6422547200487543e-09,5.945301362331179e-09,1.7363452942120716e-07,2.3599904031001984e-08,1.8669943369076236e-09,6.6390704045460325e-09,3.339918341893622e-09,1.1260265120327517e-07,8.863359823862993e-09,1.8495653897332431e-09,1.3768661100144186e-08,2.886374916855061e-09,2.0877707340716256e-08,1.4785931146121811e-08
2024-01-09,8.077249979976386e-11,8.190337297264705e-12,2.8252955530660984e-11,3.242339730036292e-11,-7.294273851599087e-09,9.270006984252177e-11,2.1345458733890155e-10,1.2315971353871191e-08,7.754852315855487e-10,2.8909763472029226e-11,1.8605739171562163e-10,7.930878176409806e-11,3.4384119995678475e-09,2.171753887836303e-10,3.2276625816507476e-11,3.2073121936093685e-10,5.97280003233891e-11,4.811104847846082e-10,4.185041202475759e-10
2024-01-10,1.0884626533425035e-12,3.885780586188048e-14,2.3803181647963356e-13,1.709743457922741e-13,-1.6169576788627182e-10,1.3002932064409833e-12,2.1609380951304047e-12,3.736406739562881e-10,1.2446932373677555e-11,3.226308109560705e-13,3.1752378504279477e-12,9.592326932761353e-13,4.935962749641476e-11,4.7128967395337895e-12,5.220268661787486e-13,3.3313352076902447e-12,9.321432514752814e-13,7.996714401770078e-12,1.1118661547016018e-11
2024-01-11,-1.3433698597964394e-14,-3.3306690738754696e-16,-2.6645352591003757e-15,-1.3322676295501878e-15,4.675593245906384e-12,-2.3869795029440866e-14,-3.0531133177191805e-14,-2.1055934773528406e-11,-2.738920201750261e-13,-3.219646771412954e-15,-7.682743330406083e-14,-1.8318679906315083e-14,-1.0478284906412227e-12,-1.3344880755994382e-13,-1.0103029524088925e-14,-5.2513549064769904e-14,-1.9761969838327786e-14,-1.7497114868092467e-13,-3.2662761384472105e-13
2024-01-12,-2.220446049250313e-16,0.0,0.0,0.0,2.4558133304708463e-13,-7.771561172376096e-16,-8.881784197001252e-16,-1.989186593220893e-12,-1.2323475573339238e-14,-1.1102230246251565e-16,-2.6645352591003757e-15,-6.661338147750939e-16,-4.4297898682543746e-14,-6.439293542825908e-15,-3.3306690738754696e-16,-1.7763568394002505e-15,-8.881784197001252e-16,-7.327471962526033e-15,-1.7430501486614958e-14
2024-01-16,0.0,0.0,0.0,0.0,-7.882583474838611e-15,0.0,0.0,8.903988657493755e-14,4.440892098500626e-16,0.0,0.0,0.0,1.1102230246251565e-15,2.220446049250313e-16,0.0,0.0,0.0,2.220446049250313e-16,6.661338147750939e-16
